  2    2   0  8.1473937  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    5.013197440
           1  'Pb '    188851.246969807     
           2  'Te '    116300.285296078     
    1    2      0.0000000000      0.5773502692      2.7031875291
    2    1      0.0000000000      0.0000000000      2.3100099106
 T
          3.432338423574         -0.000000000033          0.000000000000
         -0.000000000033          3.432338423622          0.000000000000
          0.000000000000          0.000000000000          1.208801587933
    1
     -2.3499491     -0.0000000      0.0000000
     -0.0000000     -2.3499491      0.0000000
      0.0000000      0.0000000     -0.0958396
    2
      2.3499491      0.0000000      0.0000000
      0.0000000      2.3499491      0.0000000
      0.0000000      0.0000000      0.0958396
   6   6   1
   5   5   1  -6.00868483630E-04
   6   5   1  -1.47676563879E-10
   1   6   1   2.56596117505E-02
   2   6   1  -1.15182948698E-03
   3   6   1  -2.02242407256E-04
   4   6   1   2.02242554862E-04
   5   6   1   1.15182919166E-03
   6   6   1  -2.56596116027E-02
   1   2   2   1
   1   1   1  -1.47755523094E-10
   2   1   1   7.07755033209E-04
   3   1   1   6.38969980442E-05
   4   1   1  -1.47652485339E-10
   5   1   1  -6.38968504330E-05
   6   1   1  -7.07754885562E-04
   1   2   1   2.56596125433E-02
   2   2   1  -2.56596123956E-02
   3   2   1  -2.93999363728E-05
   4   2   1  -1.03881126143E-04
   5   2   1   1.03881273749E-04
   6   2   1   2.93996410516E-05
   1   3   1  -5.80361052456E-04
   2   3   1  -1.47676561710E-10
   3   3   1   5.80361200110E-04
   4   3   1  -1.16653775172E-04
   5   3   1  -1.47648008861E-10
   6   3   1   1.16653922800E-04
   1   4   1  -1.58821025833E-04
   2   4   1   3.07446120585E-04
   3   4   1  -3.07445972966E-04
   4   4   1   1.58820730554E-04
   5   4   1  -5.24753510564E-05
   6   4   1   5.24754986841E-05
   1   5   1   1.96483871684E-04
   2   5   1   1.19679838318E-04
   3   5   1  -1.47645687825E-10
   4   5   1  -1.19679690686E-04
   5   5   1  -1.96483724053E-04
   6   5   1  -1.47649235894E-10
   1   6   1   1.16208309759E-03
   2   6   1   1.36714450769E-04
   3   6   1   5.98182748540E-05
   4   6   1  -5.98181272288E-05
   5   6   1  -1.36714746044E-04
   6   6   1  -1.16208294997E-03
   1   2   2   2
   1   1   1  -9.97779332633E-10
   2   1   1   1.84701040537E-03
   3   1   1   4.57474569469E-04
   4   1   1  -9.97787490302E-10
   5   1   1  -4.57473571626E-04
   6   1   1  -1.84700940747E-03
   1   2   1   2.98128436598E-03
   2   2   1  -2.98128336820E-03
   3   2   1   3.32896281256E-04
   4   2   1   1.14208560039E-04
   5   2   1  -1.14207562212E-04
   6   2   1  -3.32898276858E-04
   1   3   1   6.04572687987E-04
   2   3   1  -9.97785245486E-10
   3   3   1  -6.04571690181E-04
   4   3   1   5.73964632358E-05
   5   3   1  -9.97797033028E-10
   6   3   1  -5.73954654265E-05
   1   4   1   8.45975819898E-05
   2   4   1   9.79896226049E-06
   3   4   1  -9.79796444300E-06
   4   4   1  -8.45995775930E-05
   5   4   1   8.42293003972E-05
   6   4   1  -8.42283025797E-05
   1   5   1  -3.10375453107E-04
   2   5   1  -1.51422730267E-04
   3   5   1  -9.97797032956E-10
   4   5   1   1.51423728076E-04
   5   5   1   3.10376450914E-04
   6   5   1  -9.97785245486E-10
   1   6   1  -7.12735446856E-04
   2   6   1  -3.32898276858E-04
   3   6   1  -2.01802973723E-05
   4   6   1   2.01812951983E-05
   5   6   1   3.32896281256E-04
   6   6   1   7.12736444642E-04
   1   3   1   1
   1   1   1  -9.63735264432E-20
   2   1   1  -1.01306400809E-03
   3   1   1  -4.14594266055E-04
   4   1   1   4.81867632216E-20
   5   1   1   4.14594266055E-04
   6   1   1   1.01306400809E-03
   1   2   1   2.95541589293E-03
   2   2   1  -2.95541589293E-03
   3   2   1   6.41653203992E-05
   4   2   1  -8.50349384188E-06
   5   2   1   8.50349384188E-06
   6   2   1  -6.41653203992E-05
   1   3   1   2.95432133027E-04
   2   3   1   1.56606980470E-19
   3   3   1  -2.95432133027E-04
   4   3   1   3.59579148017E-06
   5   3   1  -1.20466908054E-20
   6   3   1  -3.59579148017E-06
   1   4   1  -7.95944444444E-06
   2   4   1  -3.59784924557E-05
   3   4   1   3.59784924557E-05
   4   4   1   7.95944444444E-06
   5   4   1   1.20992853220E-05
   6   4   1  -1.20992853220E-05
   1   5   1  -1.19162133027E-04
   2   5   1  -7.43420851983E-06
   3   5   1   9.03501810405E-20
   4   5   1   7.43420851983E-06
   5   5   1   1.19162133027E-04
   6   5   1  -1.80700362081E-20
   1   6   1   1.94235188484E-03
   2   6   1   1.91464209288E-04
   3   6   1   2.85442839359E-05
   4   6   1  -2.85442839359E-05
   5   6   1  -1.91464209288E-04
   6   6   1  -1.94235188484E-03
   1   3   1   2
   1   1   1   0.00000000000E+00
   2   1   1   8.95388476225E-05
   3   1   1   3.63850950896E-05
   4   1   1   3.85494105773E-19
   5   1   1  -3.63850950896E-05
   6   1   1  -8.95388476225E-05
   1   2   1  -7.65439409722E-04
   2   2   1   7.65439409722E-04
   3   2   1   3.19824473546E-05
   4   2   1   7.72711004840E-06
   5   2   1  -7.72711004840E-06
   6   2   1  -3.19824473546E-05
   1   3   1  -1.26304214136E-04
   2   3   1   0.00000000000E+00
   3   3   1   1.26304214136E-04
   4   3   1   9.72839481425E-06
   5   3   1   2.89120579329E-19
   6   3   1  -9.72839481425E-06
   1   4   1   1.67288888889E-05
   2   4   1   1.10616832049E-05
   3   4   1  -1.10616832049E-05
   4   4   1  -1.67288888889E-05
   5   4   1  -4.40387235067E-06
   6   4   1   4.40387235067E-06
   1   5   1   1.79730880803E-04
   2   5   1   6.81172814758E-06
   3   5   1   4.51750905202E-20
   4   5   1  -6.81172814758E-06
   5   5   1  -1.79730880803E-04
   6   5   1   6.02334540270E-20
   1   6   1  -3.61449394792E-02
   2   6   1   9.45171336243E-04
   3   6   1   1.43031554493E-04
   4   6   1  -1.43031554493E-04
   5   6   1  -9.45171336243E-04
   6   6   1   3.61449394792E-02
   1   3   2   1
   1   1   1  -7.70988211545E-19
   2   1   1  -3.98083010606E-06
   3   1   1  -5.38792893712E-05
   4   1   1  -3.85494105773E-19
   5   1   1   5.38792893712E-05
   6   1   1   3.98083010606E-06
   1   2   1  -3.79770451786E-02
   2   2   1   3.79770451786E-02
   3   2   1  -3.71959758143E-04
   4   2   1   5.09972951562E-05
   5   2   1  -5.09972951562E-05
   6   2   1   3.71959758143E-04
   1   3   1  -2.05426102376E-04
   2   3   1  -8.43268356378E-20
   3   3   1   2.05426102376E-04
   4   3   1   7.69395907345E-05
