  1    2   0  8.1209976  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    5.041662557
           1  'Bi '    190473.982298499     
    1    1      0.5000000000      0.2886751346      2.3176420796
    2    1      0.0000000000      0.5773502692      2.7240204776
 T
         11.300789777139          0.000000000000          0.000000000000
          0.000000000000         11.300789777229          0.000000000000
          0.000000000000          0.000000000000          1.220294953257
    1
      0.0000000      0.0000000      0.0000000
      0.0000000      0.0000000      0.0000000
      0.0000000      0.0000000      0.0000000
    2
      0.0000000      0.0000000      0.0000000
      0.0000000      0.0000000      0.0000000
      0.0000000      0.0000000      0.0000000
   6   6   1
   5   4   1   4.94826380282E-05
   6   4   1   4.68848745487E-05
   1   5   1  -3.30602190834E-04
   2   5   1   3.39334484942E-06
   3   5   1   3.39399766423E-06
   4   5   1  -3.30603734366E-04
   5   5   1   9.94200888190E-05
   6   5   1   9.94222851652E-05
   1   6   1  -2.21652526100E-05
   2   6   1  -2.45819728351E-05
   3   6   1   8.14700003689E-05
   4   6   1  -2.45832124895E-05
   5   6   1  -2.21651674161E-05
   6   6   1   4.58170055415E-04
   1   1   2   1
   1   1   1  -4.46407216667E-02
   2   1   1  -4.46407205627E-02
   3   1   1  -1.43920025597E-03
   4   1   1  -2.50401666667E-04
   5   1   1  -2.50401410695E-04
   6   1   1  -1.43920110398E-03
   1   2   1  -2.21652526100E-05
   2   2   1   4.58170055415E-04
   3   2   1  -2.21651674161E-05
   4   2   1  -2.45832124895E-05
   5   2   1   8.14700003689E-05
   6   2   1  -2.45819728351E-05
   1   3   1  -3.30602190834E-04
   2   3   1   9.94222851652E-05
   3   3   1   9.94200888190E-05
   4   3   1  -3.30603734366E-04
   5   3   1   3.39399766423E-06
   6   3   1   3.39334484942E-06
   1   4   1  -3.72801666667E-04
   2   4   1   4.68848745487E-05
   3   4   1   4.94826380282E-05
   4   4   1   4.68850000000E-05
   5   4   1  -3.72800971362E-04
   6   4   1   3.05901254513E-05
   1   5   1  -1.21424447583E-03
   2   5   1   1.26469988484E-04
   3   5   1   1.23410023358E-05
   4   5   1   1.23404010322E-05
   5   5   1   1.26469911181E-04
   6   5   1  -1.21424395183E-03
   1   6   1  -6.16682141406E-03
   2   6   1   2.51743639502E-04
   3   6   1   6.07633329644E-05
   4   6   1   5.68732124895E-05
   5   6   1   6.07635007494E-05
   6   6   1   2.51743277918E-04
   1   1   2   2
