  2    2   0  4.7418901  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    7.970349730
           1  'B  '    9853.62370169200     
           2  'N  '    12766.3260662741     
    1    1      0.0000000000      0.5773502692      3.9851748648
    2    2      0.5000000000      0.2886751346      3.9851748648
 T
          1.627164291400          0.000000000000          0.000000000000
          0.000000000000          1.627164291393          0.000000000000
          0.000000000000          0.000000000000          1.103712267781
    1
      2.7050956      0.0000000      0.0000000
      0.0000000      2.7050956      0.0000000
      0.0000000      0.0000000      0.2300446
    2
     -2.7050956      0.0000000      0.0000000
      0.0000000     -2.7050956      0.0000000
      0.0000000      0.0000000     -0.2300446
  10   4   1   2.41410399918E-04   9.45818971619E-04
   1   5   1   5.37870277354E-05   2.83299034864E-04
   2   5   1  -1.26434978001E-04  -2.06758626556E-04
   3   5   1  -3.86176553333E-04  -7.89335820227E-04
   4   5   1  -3.86176064789E-04  -7.89336291192E-04
   5   5   1  -1.26436859422E-04  -2.06756776205E-04
   6   5   1   5.37859269416E-05   2.83300418848E-04
   7   5   1   1.84209316227E-04   3.93087520214E-04
   8   5   1   2.74035215250E-04   3.19694963211E-04
   9   5   1   2.74034453756E-04   3.19696731579E-04
  10   5   1   1.84207285561E-04   3.93090225914E-04
   1   6   1   3.78334907534E-05   1.17681709247E-04
   2   6   1  -1.36470280610E-04   2.65788669400E-04
   3   6   1  -2.62164757628E-04   1.47308121366E-04
   4   6   1  -3.35602594408E-04   4.90323450075E-05
   5   6   1  -2.62165028018E-04   1.47308160605E-04
   6   6   1  -1.36468774937E-04   2.65786774937E-04
   7   6   1   3.78344760826E-05   1.17680509028E-04
   8   6   1   3.00349219882E-04  -2.89798559262E-04
   9   6   1   4.50418229861E-04  -5.30958911296E-04
  10   6   1   3.00352727315E-04  -2.89803527324E-04
   1   7   1   5.20229062218E-05  -4.33027524937E-04
   2   7   1  -2.39168545730E-04   5.06617888647E-04
   3   7   1  -3.23778222355E-04   7.92313484713E-04
   4   7   1  -3.35543452644E-04   7.92158912427E-04
   5   7   1  -3.35543248404E-04   7.92159105369E-04
   6   7   1  -3.23777411995E-04   7.92313113088E-04
   7   7   1  -2.39172025971E-04   5.06621511963E-04
   8   7   1   5.20243734771E-05  -4.33029392645E-04
   9   7   1   8.20856535912E-04  -1.65806243419E-03
  10   7   1   8.20850982294E-04  -1.65805637860E-03
   1   8   1  -2.74590094326E-05  -2.20912599115E-03
   2   8   1  -6.13085454615E-04   8.25079938568E-04
   3   8   1  -5.88347422979E-04   1.60264830987E-03
   4   8   1  -4.26371265002E-04   1.57460114950E-03
   5   8   1  -3.72977509633E-04   1.50720034020E-03
   6   8   1  -4.26371641333E-04   1.57460186169E-03
   7   8   1  -5.88346349877E-04   1.60264687388E-03
   8   8   1  -6.13080964811E-04   8.25076367250E-04
   9   8   1  -2.74666683524E-05  -2.20911860136E-03
  10   8   1   2.90334582318E-03  -5.09452963073E-03
   1   9   1  -1.98632885359E-03  -1.09284100499E-02
   2   9   1  -2.24062313276E-03   2.49051710926E-03
   3   9   1  -1.34202986230E-03   3.54600752093E-03
   4   9   1  -6.17696198308E-04   2.73993450829E-03
   5   9   1  -4.02858387769E-04   2.25952836440E-03
